id;fecha;hora;medico;centro_medico
1;2024-11-21;2024-11-21T20:29:02;ack wasteful difficult;bog
2;2024-11-22;2024-11-21T20:39:16;aw hm depute;unusual new nicely
3;2024-11-21;2024-11-21T07:31:53;monasticism amid yet;outside
4;2024-11-21;2024-11-21T06:44:02;atop hence sashay;maintainer ironclad positively
5;2024-11-21;2024-11-21T15:09:44;hm amongst provided;yet brood birdbath
6;2024-11-21;2024-11-21T02:18:41;oof;preside bah
7;2024-11-21;2024-11-21T02:37:10;gleefully accelerator spectate;indeed
8;2024-11-21;2024-11-21T02:10:15;venture;pinion
9;2024-11-21;2024-11-21T22:38:56;pertain furthermore how;lest
10;2024-11-21;2024-11-21T20:22:23;but and er;especially grumpy
